directory,latitude,longitude,gpstime,gpsdate,endtime
027,39.9274699,116.4724066,22:53:07,2008-06-19,22:53:07
027,39.9753133,116.33024,09:54:30,2008-06-22,09:54:30
027,39.926985,116.471915,21:51:03,2008-06-22,21:51:03
027,39.9266133,116.47207,22:31:48,2008-06-25,22:31:48
027,39.9805399,116.3106449,10:27:15,2008-06-28,10:27:15
027,39.9271349,116.4720383,22:15:39,2008-06-28,22:15:39
027,39.9669633,116.3444666,22:58:58,2008-07-04,22:58:58
027,39.9275066,116.4722416,23:31:05,2008-07-05,23:31:05
027,39.92726,116.471982,22:08:31,2008-05-16,22:08:31
027,39.975742,116.330759,17:17:56,2008-05-17,17:17:56
027,39.9666,116.344347,21:08:55,2008-07-13,21:08:55
027,39.966949,116.34435,22:53:08,2008-07-19,22:53:08
027,39.927433,116.472112,22:18:07,2008-07-23,22:18:07
027,31.2491666666667,121.449816666667,15:16:53,2007-07-25,15:16:53
027,31.2564166666667,121.436316666667,13:51:20,2007-07-26,13:51:20
027,30.2528,120.164333333333,18:36:23,2007-07-26,18:36:23
027,30.2519166666667,120.1597,17:28:33,2007-07-27,17:28:33
027,39.9695333333333,116.330833333333,09:23:37,2007-07-29,09:23:37
029,39.9275333333333,116.314933333333,23:05:58,2007-04-13,23:05:58
029,39.92695,116.31495,23:23:44,2007-04-19,23:23:44
030,31.5385182,120.2630999,10:11:34,2008-06-29,10:11:34
030,31.6019649,120.2757399,18:17:24,2008-07-01,18:17:24
030,31.5922566,120.3072116,22:09:35,2008-07-01,22:09:35
030,31.4970183,119.6643299,18:15:42,2008-07-03,18:15:42
030,31.5919816,120.3075749,20:38:50,2008-07-03,20:38:50
030,31.5923066,120.3076983,21:38:11,2008-07-09,21:38:11
030,31.58852,120.3059499,21:50:35,2008-07-10,21:50:35
030,31.5838349,120.299445,17:17:15,2008-07-14,17:17:15
030,31.5930316,120.3153599,21:50:07,2008-07-14,21:50:07
030,31.5814982,120.2917816,12:17:42,2008-07-19,12:17:42
030,31.5939049,120.3098166,20:40:16,2008-07-19,20:40:16
030,31.5924966,120.3071766,15:39:46,2008-07-20,15:39:46
030,31.5876699,120.3083699,20:09:20,2008-07-21,20:09:20
031,39.975045,116.338273,22:40:00,2008-04-22,22:40:00
031,39.975651,116.330258,16:46:14,2008-05-03,16:46:14
031,39.95239,116.317434,12:27:55,2008-05-05,12:27:55
031,39.975603,116.33123,13:46:09,2008-05-05,13:46:09
031,39.989763,116.326887,22:38:32,2008-05-18,22:38:32
031,39.976915,116.329072,23:59:59,2008-05-22,23:59:59
031,39.903881,116.420792,07:56:34,2008-06-07,07:56:34
031,39.991093,116.326888,00:06:16,2008-06-10,00:06:16
031,39.975632,116.330862,08:43:00,2008-06-12,08:43:00
031,39.860177,116.49366,08:37:11,2008-06-20,08:37:11
031,39.994542,116.326781,08:43:06,2008-06-25,08:43:06
031,39.975874,116.330818,13:00:11,2008-06-25,13:00:11
031,39.999785,116.321999,22:13:02,2008-06-25,22:13:02
031,39.975289,116.330872,22:41:52,2008-07-25,22:41:52
031,39.977011,116.331044,22:53:42,2008-07-31,22:53:42
031,39.97079,116.418454,17:08:30,2008-08-02,17:08:30
031,39.991383,116.326392,23:52:45,2008-08-02,23:52:45
031,39.635706,119.307566,10:32:47,2008-08-09,10:32:47
031,39.822995,119.479981,19:01:03,2008-08-09,19:01:03
031,39.826485,119.498125,11:19:23,2008-08-10,11:19:23
031,39.915023,116.447593,20:36:56,2008-08-20,20:36:56
031,39.946279,116.467386,20:58:01,2008-08-20,20:58:01
031,39.975234,116.33084,23:31:24,2008-08-20,23:31:24
031,39.97558,116.330826,23:39:50,2008-08-25,23:39:50
031,39.971429,116.422628,12:17:16,2008-08-31,12:17:16
031,39.978844,116.310768,12:00:33,2008-09-19,12:00:33
031,39.938166,116.430066,13:24:08,2008-10-11,13:24:08
031,39.976468,116.411802,23:03:01,2008-11-26,23:03:01
031,39.9714267,116.42261625,17:09:11,2009-05-16,17:09:11
031,39.9719069,116.418523383333,14:26:38,2009-05-18,14:26:38
031,39.9752641333333,116.330755116667,23:12:45,2009-05-18,23:12:45
031,39.97523315,116.3306173,22:31:05,2009-05-23,22:31:05
031,39.975218,116.331228,23:20:58,2008-05-12,23:20:58
032,39.992342,116.325697,18:22:06,2008-11-07,18:22:06
